Item Number,Description,Quantity,Unit,Unit Cost (P),Total Amount (P)
PART B,OTHER GENERAL REQUIREMENTS,,,,
B.3 (1),Permits and Clearances,1.00,l.s,"64,260.00","64,260.00"
B.5 (1),Project Billboard/ Signboard (8'x8' COA Billboard),1.00,each,"3,150.00","3,150.00"
B.5 (1),Project Billboard/ Signboard (4'x8' DPWH Billboard),1.00,each,"3,150.00","3,150.00"
B.7 (1),Occupational Safety and Health,1.00,l.s,"144,900.00","144,900.00"
B.9 (1),Mobilization/Demobilization,1.00,l.s,"56,700.00","56,700.00"
PART C,EARTHWORKS,,,,
803(1)a,Structure Excavation (Common Soil),73.00,cu.m,441.00,"32,193.00"
804(1) a,Embankment from Roadway/Structure Excavation (Common Soil),47.00,cu.m,315.00,"14,805.00"
804 (7),Gravel Fill,62.00,cu.m,"1,890.00","117,180.00"
PART D,REINFORCED CONCRETE,,,,
900 (1) c,"Structural Concrete (Class A, 3000 psi at 28 days)",56.00,cu.m,"8,946.00","500,976.00"
900 (1) d,"Structural Concrete (Class A, 4000 psi at 28 days)",30.00,cu.m,"17,750.88","532,526.40"
902 (1) a1,Reinforcing Steel (Deformed/Grade 40),"2,920.00",kgs,85.72,"250,302.40"
902 (1) a2,"Reinforcing Steel (Deformed, Grade 60)","3,578.70",kgs,88.20,"315,641.34"
903 (2),Formworks and Falseworks,188.40,sq.m.,809.46,"152,502.26"
PART E,FINISHINGS AND OTHER CIVIL WORKS,,,,
1000 (1),Soil Poisoning,45.00,liters,693.00,"31,185.00"
1001 (5) b,Catch Basin (CHB),14.00,each,"10,080.00","141,120.00"
1001 (9),Storm Drainage and Downspout,1.00,l.s,"90,720.00","90,720.00"
1004 (2),Finishing Hardware,1.00,l.s,"44,100.00","44,100.00"
1013 (2) a,"Fabricated Metal Roofing Accessory (Ridge/Hip Rolls - Gauge 26)(0.551 mm)",31.00,ln.m.,756.00,"23,436.00"
1013 (2) c,"Fabricated Metal Roofing Accessory (Gutters - Gauge 24)(0.701 mm)",63.00,ln.m.,806.40,"50,803.20"
1014 (1) b2,"Prepainted Metal Sheets (Rib Type - Long Span, above 0.427 mm thk)",704.00,sq.m,806.40,"567,705.60"
1021 (1) a,Cement Floor Finish (Plain),559.00,sq.m,498.96,"278,918.64"
1027 (1),Cement Plaster Finish,45.00,sq.m,255.78,"11,510.10"
1032 (1) a,Painting Works (Masonry/Concrete - Rubberized Paint),540.00,sq.m,594.72,"321,148.80"
1032 (1) a,Painting Works (Masonry/Concrete),45.00,sq.m,281.75,"12,678.75"
1032 (1) c,Painting Works (Steel),"1,037.40",sq.m,441.00,"457,493.40"
1047 (2),Metal Structures (Aluminum Louver),1.00,l.s,"618,004.30","618,004.30"
1047 (4) a,Metal Structure Accessories (Bolts and Rods) (Anchor Bolts),84.00,each,144.90,"12,171.60"
1047 (4) b,Metal Structure Accessories (Turnbuckle),24.00,each,415.80,"9,979.20"
1047 (5) b,Metal Structure Accessories (Sagrods),320.20,kgs,81.90,"26,224.38"
1047 (5) c,Metal Structure Accessories (Cross Bracing),213.00,kgs,132.30,"28,179.90"
1047 (5) d,Metal Structure Accessories (Steel Plates),351.70,kgs,132.30,"46,529.91"
1047 (6),Structural Steel,"24,907.60",kgs,151.20,"3,766,029.12"
1047 (7),Structural Steel (Hanging Goal),1.00,l.s,"63,000.00","63,000.00"
1047 (8) b,Structural Steel (Purlins),"5,605.00",kgs,119.70,"670,918.50"
1048 (4),Glass Fiber (Basketball Goal Board and Its Accessories),4.00,sq.m,"20,790.00","83,160.00"
1722 (1) c,Fence (Cyclone/Welded Wire),183.60,sq.m,252.00,"46,267.20"
PART F,ELECTRICAL,,,,
1100 (10),"Conduits, Boxes & Fittings (Conduit Works/ Conduit Rough in)",1.00,l.s,"126,630.00","126,630.00"
1101 (33),Wires and Wiring Devices,1.00,l.s,"50,400.00","50,400.00"
1102 (1),Panel Board w/ Main & Branch Breakers,1.00,l.s,"37,800.00","37,800.00"
1103 (1),Lighting Fixtures,1.00,l.s,"75,600.00","75,600.00"
GRAND TOTAL,,,,,"9,880,000.00"
